categoryNo,asinNo,sellerNo,ASIN,sellerID,country,rate
0,16,1,B005GCM8PC,None,NoCountry,NoFeedback
0,16,2,B005GCM8PC,A11P8T8QSCOMKR,DE,909
0,16,3,B005GCM8PC,AFR2F2TOAMO2P,DE,1429
0,16,4,B005GCM8PC,A32LNRBTF2Y7HW,DE,203
0,16,5,B005GCM8PC,A1R5UP7PF6F47I,DE,206
0,16,6,B005GCM8PC,A1CYBV56SAM7LI,DE,97
0,16,7,B005GCM8PC,APR0RMB3RLRLT,DE,428
0,16,8,B005GCM8PC,AGU7DAWFUEFU8,DE,NoFeedback
0,16,9,B005GCM8PC,A133RA3ZUAU4I7,DE,23003
0,17,0,B00ZY1J1JG,A8KICS1PHF7ZO,NoCountry,111325
0,17,1,B00ZY1J1JG,None,NoCountry,NoFeedback
0,17,2,B00ZY1J1JG,A1BHN9FDGPB81H,DE,2029
0,17,3,B00ZY1J1JG,A8F1TXUMJY6JO,DE,355
0,17,4,B00ZY1J1JG,A1HKWWEIBP4EC1,DE,3145
0,17,5,B00ZY1J1JG,AREMA033HOBL2,NoCountry,47
0,17,6,B00ZY1J1JG,AZGKBCW8ULENM,NoCountry,NoFeedback
0,17,7,B00ZY1J1JG,A1907HV9NECS1E,NoCountry,NoFeedback
0,17,8,B00ZY1J1JG,A3LG5FQC4QWS4,DE,1458
0,17,9,B00ZY1J1JG,A24JPDNDSDCQ9,DE,1278
31,12,0,B01L27OWJO,None,NoCountry,NoFeedback
31,12,1,B01L27OWJO,A24JPDNDSDCQ9,NoCountry,NoFeedback
31,12,2,B01L27OWJO,A1YJU9RIMEUNF2,NoCountry,NoFeedback
31,12,3,B01L27OWJO,A2N8G12PC7U0FI,NoCountry,NoFeedback
31,12,4,B01L27OWJO,AZLS81A4R7CR4,NoCountry,NoFeedback
31,12,5,B01L27OWJO,A3P98T83Q2GFN1,NoCountry,NoFeedback
31,12,6,B01L27OWJO,A3LG5FQC4QWS4,DE,1458
31,12,7,B01L27OWJO,A1J9D8DFCCB4TN,NoCountry,NoFeedback
31,12,8,B01L27OWJO,A3NOUUHLVV3QXQ,NoCountry,NoFeedback
31,12,9,B01L27OWJO,A1HTKBNYG718CQ,NoCountry,NoFeedback
